elo_bin,n,actual_fav_wr,expected_fav_wr,actual_upset_rate,expected_upset_rate,volatility_factor
0-25,73,0.3698630136986301,0.5192003279129187,0.6301369863013699,0.4807996720870813,1.3106019468899326
26-50,85,0.3176470588235294,0.550060879380171,0.6823529411764706,0.449939120619829,1.516545038885421
51-100,141,0.5106382978723404,0.603243304325487,0.4893617021276596,0.396756695674513,1.2334050249503967
101-200,173,0.4277456647398844,0.6907595436246163,0.5722543352601156,0.30924045637538367,1.850515750647652
200+,74,0.33783783783783783,0.7929797576156179,0.6621621621621622,0.2070202423843821,3.198538242133353
